#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
scaffold_321	189.1757	461	0.5076	100.0000	461	310	302	0.5092	208	47.83
scaffold_322	157.8261	460	0.4783	100.0000	460	253	251	0.4855	172	41.91
scaffold_323	128.1721	459	0.4989	100.0000	459	194	203	0.4969	149	45.61
scaffold_324	139.4571	455	0.4813	100.0000	455	211	222	0.4845	152	47.87
scaffold_325	48.8110	455	0.4593	100.0000	455	74	75	0.4636	59	21.11
scaffold_326	302.4867	452	0.5265	100.0000	452	473	454	0.5323	350	94.91
scaffold_327	68.7544	452	0.4823	100.0000	452	112	98	0.4834	83	24.90
scaffold_328	246.4412	451	0.5211	100.0000	451	383	372	0.5142	278	100.44
scaffold_329	138.1269	449	0.4989	100.0000	449	216	204	0.4961	161	48.04
scaffold_330	141.7830	447	0.5078	100.0000	447	217	215	0.5003	167	48.34
scaffold_331	121.5959	443	0.5305	100.0000	443	187	178	0.5351	142	40.32
scaffold_332	69.1335	442	0.4955	100.0000	442	105	101	0.4918	81	23.67
scaffold_333	127.8588	439	0.4806	100.0000	439	190	197	0.4879	142	34.83
scaffold_334	204.7872	437	0.4760	100.0000	437	319	290	0.4861	231	73.08
scaffold_335	183.4966	435	0.4966	100.0000	435	274	284	0.4945	209	71.28
scaffold_336	127.8963	434	0.5069	100.0000	434	191	191	0.5144	141	42.37
scaffold_337	153.7889	431	0.5290	100.0000	431	223	227	0.5337	176	55.47
scaffold_338	139.3805	431	0.4872	100.0000	431	214	199	0.4925	155	37.87
scaffold_339	107.3550	431	0.4594	100.0000	431	157	157	0.4564	125	37.07
scaffold_340	168.1814	430	0.5186	100.0000	430	232	261	0.5192	194	61.09
scaffold_341	127.4326	430	0.5140	100.0000	430	181	188	0.5298	141	53.23
scaffold_342	52.6224	429	0.5268	100.0000	429	81	69	0.5596	52	25.32
scaffold_343	58.2864	426	0.5141	100.0000	426	90	76	0.5228	63	26.59
scaffold_344	193.6910	424	0.4505	100.0000	424	301	270	0.4494	209	55.72
scaffold_345	142.2972	424	0.4882	100.0000	424	218	205	0.5023	154	37.30
scaffold_346	46.8436	422	0.4892	100.0000	422	68	64	0.4888	5	50.94
scaffold_347	135.5463	421	0.5368	100.0000	421	189	196	0.5447	158	59.71
scaffold_348	98.3682	421	0.4941	100.0000	421	145	134	0.4899	111	41.99
scaffold_349	131.4558	419	0.4749	100.0000	419	187	191	0.4785	153	40.70
scaffold_350	48.0811	419	0.4511	100.0000	419	68	67	0.4476	52	20.74
scaffold_351	124.0167	418	0.4856	100.0000	418	172	182	0.4877	143	37.45
scaffold_352	145.3952	415	0.5349	100.0000	415	214	209	0.5383	162	36.48
scaffold_353	10.9952	415	0.1157	100.0000	415	15	16	0.1568	13	5.09
scaffold_354	135.6836	414	0.4831	100.0000	414	199	183	0.4828	157	50.95
scaffold_355	136.1308	413	0.5036	100.0000	413	198	185	0.5012	159	45.83
scaffold_356	108.1408	412	0.4150	100.0000	412	157	144	0.4037	124	43.46
scaffold_357	52.7859	411	0.4818	100.0000	411	73	73	0.4912	61	24.31
scaffold_358	101.1671	407	0.4889	100.0000	407	127	157	0.4842	109	28.64
scaffold_359	195.7488	406	0.4631	100.0000	406	286	274	0.4696	220	48.66
scaffold_360	61.8099	405	0.4840	100.0000	405	86	81	0.5013	67	29.53
scaffold_361	63.4516	403	0.4963	100.0000	403	85	87	0.4741	74	28.54
scaffold_362	143.4851	402	0.5572	100.0000	402	201	197	0.5596	166	40.74
scaffold_363	115.9055	402	0.5100	100.0000	402	156	159	0.5102	130	49.70
scaffold_364	64.8917	397	0.5466	100.0000	397	83	91	0.5451	74	27.13
scaffold_365	62.8712	396	0.5404	100.0000	396	84	84	0.5247	71	29.00
scaffold_366	106.2741	394	0.4898	100.0000	394	144	143	0.5002	122	31.36
scaffold_367	49.3706	394	0.4594	100.0000	394	67	64	0.4535	55	21.78
scaffold_368	197.5026	392	0.5332	100.0000	392	281	258	0.5357	219	52.27
scaffold_369	194.9152	389	0.4267	100.0000	389	290	270	0.4262	199	29.70
scaffold_370	28.7147	389	0.4165	100.0000	389	32	44	0.4975	29	13.99
scaffold_371	192.3411	387	0.4419	100.0000	387	280	264	0.4494	198	46.66
scaffold_372	176.9349	384	0.4870	100.0000	384	230	233	0.4796	198	63.12
scaffold_373	129.7031	384	0.4870	100.0000	384	174	171	0.4840	135	44.50
scaffold_374	144.4714	384	0.4557	100.0000	384	202	200	0.4720	157	29.62
scaffold_375	165.4450	382	0.5209	100.0000	382	221	233	0.5236	178	35.58
scaffold_376	122.0497	382	0.5183	100.0000	382	168	155	0.5167	138	35.04
scaffold_377	8.4579	380	0.1132	100.0000	380	11	11	0.1406	10	4.04
scaffold_378	112.9525	379	0.4459	100.0000	379	153	149	0.4432	122	27.28
scaffold_379	49.2296	379	0.5224	100.0000	379	69	55	0.5380	47	23.74
scaffold_380	67.4577	378	0.5476	100.0000	378	90	86	0.5566	73	22.91
scaffold_381	139.2546	377	0.5119	100.0000	377	177	182	0.5113	152	50.16
scaffold_382	115.3528	377	0.4960	100.0000	377	161	137	0.4818	130	37.31
scaffold_383	20.6347	375	0.1467	100.0000	375	25	27	0.1810	23	11.00
scaffold_384	164.8850	374	0.5187	100.0000	374	207	215	0.5183	185	61.47
scaffold_385	134.2166	374	0.5134	100.0000	374	179	164	0.5165	150	42.40
scaffold_386	45.7139	374	0.3984	96.2567	360	56	59	0.4016	47	27.34
scaffold_387	122.6612	369	0.5014	100.0000	369	154	155	0.4933	144	40.66
scaffold_388	49.5137	366	0.4754	100.0000	366	60	62	0.4771	49	26.03
scaffold_389	127.8599	364	0.5110	100.0000	364	153	167	0.5157	144	39.40
scaffold_390	49.4121	364	0.4725	100.0000	364	64	57	0.4755	53	24.85
scaffold_391	150.4821	363	0.4959	100.0000	363	208	182	0.4948	164	41.20
scaffold_392	65.8564	362	0.5000	100.0000	362	79	83	0.4958	71	23.91
scaffold_393	192.4017	361	0.5180	100.0000	361	229	250	0.5120	219	60.66
scaffold_394	120.0139	361	0.5152	100.0000	361	150	149	0.5084	129	41.27
scaffold_395	67.2825	361	0.4820	100.0000	361	86	80	0.4713	75	20.74
scaffold_396	115.7250	360	0.5056	100.0000	360	150	137	0.4981	130	34.18
scaffold_397	51.1222	360	0.4833	100.0000	360	65	61	0.4756	57	15.13
scaffold_398	143.8547	358	0.4749	100.0000	358	181	182	0.4841	161	43.62
scaffold_399	9.2969	357	0.5154	100.0000	357	11	13	0.5254	9	2.52
scaffold_400	137.7809	356	0.4494	100.0000	356	177	176	0.4565	153	43.76
scaffold_401	98.9916	356	0.4354	100.0000	356	128	116	0.4245	111	33.16
scaffold_402	150.6338	355	0.4930	100.0000	355	202	161	0.4844	163	59.62
scaffold_403	64.3746	355	0.5296	100.0000	355	89	63	0.5350	69	24.77
scaffold_404	65.3125	352	0.5256	100.0000	352	84	70	0.5307	66	29.48
scaffold_405	181.9972	351	0.5157	100.0000	351	215	224	0.5213	202	56.15
scaffold_406	51.0343	350	0.4629	100.0000	350	63	58	0.4773	55	15.27
scaffold_407	51.5759	349	0.4957	100.0000	349	61	59	0.5150	54	21.88
scaffold_408	9.4126	349	0.1375	100.0000	349	13	11	0.1959	11	3.90
scaffold_409	13.4943	348	0.1667	100.0000	348	18	15	0.1786	14	6.04
scaffold_410	123.2651	347	0.4957	100.0000	347	146	145	0.4887	132	47.10
scaffold_411	58.4496	347	0.4899	100.0000	347	65	73	0.4905	63	24.95
scaffold_412	118.6841	345	0.5391	100.0000	345	133	146	0.5508	130	49.09
scaffold_413	120.4140	343	0.5190	100.0000	343	144	144	0.5041	126	38.16
scaffold_414	101.6374	342	0.5234	100.0000	342	115	119	0.5233	108	41.48
scaffold_415	55.6608	342	0.5263	100.0000	342	58	71	0.5465	58	24.70
scaffold_416	45.7251	342	0.4649	100.0000	342	52	56	0.4748	49	18.55
scaffold_417	127.0440	341	0.5279	100.0000	341	151	152	0.5291	142	34.46
scaffold_418	114.8065	341	0.4457	100.0000	341	125	143	0.4462	122	44.24
scaffold_419	115.3186	339	0.4720	100.0000	339	152	140	0.4780	122	26.28
scaffold_420	13.0973	339	0.1740	100.0000	339	15	15	0.1711	12	6.31
scaffold_421	72.2404	337	0.4866	100.0000	337	83	84	0.4824	79	23.26
scaffold_422	95.3947	337	0.5074	100.0000	337	112	107	0.5229	99	42.42
scaffold_423	90.0119	337	0.4955	100.0000	337	113	97	0.4970	99	30.88
scaffold_424	130.1548	336	0.5327	100.0000	336	142	159	0.5247	138	48.30
scaffold_425	58.4137	336	0.5030	100.0000	336	68	69	0.4991	61	13.25
scaffold_426	57.0476	336	0.5119	100.0000	336	67	67	0.5104	61	18.31
scaffold_427	112.1111	333	0.4865	100.0000	333	116	136	0.4953	116	44.70
scaffold_428	119.8078	333	0.5165	100.0000	333	139	135	0.5261	131	44.67
scaffold_429	129.6777	332	0.4819	100.0000	332	151	145	0.4745	137	45.74
scaffold_430	54.9788	330	0.5091	100.0000	330	65	58	0.5222	58	23.08
scaffold_431	46.3485	330	0.5788	100.0000	330	52	50	0.5812	48	25.28
scaffold_432	52.7879	330	0.4758	100.0000	330	61	59	0.4891	58	17.95
scaffold_433	58.4954	329	0.5532	100.0000	329	62	70	0.5638	59	24.48
scaffold_434	106.7012	328	0.4726	100.0000	328	119	126	0.4695	117	32.14
scaffold_435	134.8502	327	0.5046	100.0000	327	159	153	0.5037	151	48.48
scaffold_436	46.2923	325	0.4892	100.0000	325	46	56	0.4859	49	23.27
scaffold_437	126.1543	324	0.5432	100.0000	324	141	139	0.5470	127	53.10
scaffold_438	64.9228	324	0.5370	100.0000	324	71	73	0.5568	68	27.09
scaffold_439	60.1118	322	0.5217	100.0000	322	62	69	0.5322	65	26.24
scaffold_440	111.4112	321	0.4237	100.0000	321	133	136	0.4455	117	40.70
scaffold_441	128.0376	319	0.5392	100.0000	319	141	140	0.5367	139	41.03
scaffold_442	6.4227	317	0.1199	100.0000	317	7	7	0.1712	6	3.48
scaffold_443	144.2089	316	0.5411	100.0000	316	136	177	0.5585	151	54.09
scaffold_444	107.6361	316	0.5063	100.0000	316	130	115	0.5077	121	30.95
scaffold_445	118.8703	316	0.5190	100.0000	316	122	136	0.5238	126	46.63
scaffold_446	153.5143	315	0.5079	100.0000	315	162	175	0.5229	164	50.67
scaffold_447	172.8626	313	0.5272	100.0000	313	186	184	0.5321	181	70.16
scaffold_448	56.2492	313	0.5208	100.0000	313	63	56	0.5280	58	27.18
scaffold_449	65.2019	312	0.4840	100.0000	312	72	67	0.4732	68	28.83
scaffold_450	56.0160	312	0.5224	100.0000	312	64	53	0.5346	57	34.04
scaffold_451	38.9263	312	0.5064	100.0000	312	40	41	0.4897	38	22.67
scaffold_452	53.7226	310	0.5000	100.0000	310	50	64	0.4749	54	25.46
scaffold_453	114.3883	309	0.5178	100.0000	309	134	115	0.5269	122	41.25
scaffold_454	54.2233	309	0.4951	100.0000	309	61	54	0.4890	56	21.12
scaffold_455	17.6515	307	0.1466	100.0000	307	18	19	0.1801	19	6.24
scaffold_456	1525.4739	306	0.4542	100.0000	306	1469	1710	0.4742	1562	639.78
scaffold_457	14.1634	306	0.1340	100.0000	306	16	14	0.1848	14	6.76
scaffold_458	48.8000	305	0.4951	100.0000	305	56	43	0.4888	48	26.02
scaffold_459	46.2574	303	0.4983	100.0000	303	57	39	0.5078	47	24.77
scaffold_460	58.2285	302	0.5364	100.0000	302	60	58	0.5374	60	28.21
scaffold_461	27.5331	302	0.3775	100.0000	302	28	29	0.3848	28	13.06
scaffold_462	132.5781	301	0.4884	100.0000	301	149	129	0.4917	139	48.23
scaffold_463	47.6330	297	0.4815	100.0000	297	50	45	0.4982	48	25.63
scaffold_464	43.8750	296	0.5574	100.0000	296	46	42	0.5655	45	19.73
scaffold_465	35.3682	296	0.4865	100.0000	296	33	38	0.4885	36	20.56
scaffold_466	88.0412	291	0.4983	100.0000	291	97	79	0.5043	91	35.77
scaffold_467	52.8282	291	0.4845	100.0000	291	61	43	0.4811	55	25.41
scaffold_468	38.2371	291	0.4708	100.0000	291	43	35	0.5089	40	16.55
scaffold_469	49.8832	291	0.4914	100.0000	291	49	50	0.4964	52	25.18
scaffold_470	116.4360	289	0.4706	100.0000	289	113	122	0.4662	120	40.76
scaffold_471	176.6528	288	0.5382	100.0000	288	168	184	0.5344	180	69.79
scaffold_472	111.4530	287	0.5540	100.0000	287	116	102	0.5676	115	46.66
scaffold_473	41.0035	287	0.4495	100.0000	287	42	39	0.4600	42	17.58
scaffold_474	36.8815	287	0.4948	100.0000	287	33	39	0.5025	37	15.78
scaffold_475	128.1224	286	0.5490	100.0000	286	128	122	0.5495	133	54.23
scaffold_476	51.2273	286	0.5874	100.0000	286	58	41	0.5969	52	29.71
scaffold_477	62.4386	285	0.5123	100.0000	285	61	63	0.5254	63	22.61
scaffold_478	46.7088	285	0.5018	100.0000	285	45	47	0.5071	48	19.77
scaffold_479	48.9333	285	0.5088	100.0000	285	48	50	0.5162	51	16.76
scaffold_480	35.5845	284	0.5141	100.0000	284	35	33	0.5285	35	18.76
scaffold_481	109.4629	283	0.5265	100.0000	283	108	107	0.5263	114	41.41
scaffold_482	48.7350	283	0.4841	100.0000	283	46	48	0.4917	50	23.31
scaffold_483	92.0142	282	0.4858	100.0000	282	96	85	0.4828	93	32.23
scaffold_484	49.1139	281	0.4840	100.0000	281	51	42	0.4846	48	26.64
scaffold_485	30.0071	281	0.4804	100.0000	281	30	28	0.4966	31	15.04
scaffold_486	46.3929	280	0.4786	100.0000	280	44	46	0.4647	48	17.26
scaffold_487	10.0786	280	0.1071	100.0000	280	10	10	0.1692	10	3.91
scaffold_488	35.2724	279	0.5197	100.0000	279	33	33	0.5491	36	17.29
scaffold_489	43.2796	279	0.5412	100.0000	279	43	39	0.5510	42	20.71
scaffold_490	115.4388	278	0.5360	100.0000	278	96	126	0.5420	117	48.70
scaffold_491	110.5252	278	0.5432	100.0000	278	112	97	0.5339	110	47.56
scaffold_492	110.4152	277	0.5162	100.0000	277	112	108	0.5184	121	31.01
scaffold_493	52.8123	277	0.4729	100.0000	277	50	51	0.4792	53	22.49
scaffold_494	44.1227	277	0.5018	100.0000	277	41	42	0.5022	47	20.21
scaffold_495	31.5455	275	0.4364	100.0000	275	27	32	0.4464	32	16.18
scaffold_496	130.1642	274	0.5328	100.0000	274	124	137	0.5451	142	45.90
scaffold_497	114.1642	274	0.5511	100.0000	274	103	114	0.5378	116	40.41
scaffold_498	108.7766	273	0.4579	100.0000	273	100	109	0.4478	113	40.85
scaffold_499	102.7656	273	0.4652	100.0000	273	93	99	0.4824	107	39.49
scaffold_500	53.3333	273	0.4908	100.0000	273	49	51	0.4916	58	25.48
scaffold_501	55.5478	272	0.5294	100.0000	272	54	47	0.5297	58	28.25
scaffold_502	46.5799	269	0.4796	100.0000	269	41	45	0.4738	49	23.30
scaffold_503	42.2305	269	0.4907	100.0000	269	43	35	0.4897	45	20.64
scaffold_504	32.1896	269	0.5428	100.0000	269	31	27	0.5443	33	15.05
scaffold_505	34.4164	269	0.4349	100.0000	269	34	29	0.4445	36	16.90
scaffold_506	98.6045	268	0.5224	100.0000	268	101	82	0.5206	98	35.67
scaffold_507	22.3172	268	0.4254	100.0000	268	22	18	0.4517	23	13.06
scaffold_508	27.9142	268	0.3582	100.0000	268	28	25	0.3739	29	11.62
scaffold_509	42.6541	266	0.4925	100.0000	266	36	45	0.4998	47	16.52
scaffold_510	37.0792	265	0.5358	100.0000	265	34	33	0.5329	39	16.40
scaffold_511	34.8528	265	0.5245	100.0000	265	32	32	0.5016	36	14.54
scaffold_512	106.3295	264	0.5038	100.0000	264	96	98	0.5125	109	43.79
scaffold_513	115.1298	262	0.4924	100.0000	262	105	112	0.4974	111	42.28
scaffold_514	75.8736	261	0.5364	100.0000	261	66	75	0.5460	78	24.71
scaffold_515	46.9615	260	0.5462	100.0000	260	41	42	0.5501	48	23.95
scaffold_516	50.0734	259	0.4402	100.0000	259	40	49	0.4491	53	22.65
scaffold_517	98.7481	258	0.4612	100.0000	258	92	86	0.4394	98	36.06
scaffold_518	208.8132	257	0.4864	100.0000	257	190	185	0.4912	209	76.96
scaffold_519	55.2879	257	0.4981	100.0000	257	47	50	0.4945	58	24.10
scaffold_520	122.8171	257	0.5175	100.0000	257	113	110	0.5036	129	42.75
scaffold_521	43.8288	257	0.5681	100.0000	257	39	36	0.5507	44	21.61
scaffold_522	96.2109	256	0.5039	100.0000	256	81	88	0.4873	91	41.92
scaffold_523	114.9141	256	0.4688	100.0000	256	102	104	0.4814	119	45.36
scaffold_524	44.8392	255	0.5059	100.0000	255	35	43	0.4944	47	22.08
scaffold_525	20.9451	255	0.4667	100.0000	255	20	17	0.4868	24	11.59
scaffold_526	43.0512	254	0.5472	100.0000	254	37	38	0.5373	44	18.42
scaffold_527	43.0669	254	0.5236	100.0000	254	39	35	0.5098	46	22.83
scaffold_528	64.5692	253	0.5494	100.0000	253	56	59	0.5604	62	19.61
scaffold_529	22.5138	253	0.4980	100.0000	253	20	18	0.4995	26	11.97
scaffold_530	41.4462	251	0.5139	100.0000	251	35	37	0.4868	42	19.44
scaffold_531	32.8765	251	0.4661	100.0000	251	27	29	0.4685	36	17.64
scaffold_532	155.6400	250	0.5120	100.0000	250	146	146	0.5177	164	72.44
scaffold_533	33.9240	250	0.5400	100.0000	250	33	24	0.5197	36	18.16
scaffold_534	87.6154	247	0.4494	100.0000	247	85	67	0.4495	87	31.64
scaffold_535	41.9433	247	0.5425	100.0000	247	34	38	0.5399	40	16.17
scaffold_536	50.6113	247	0.5385	100.0000	247	47	42	0.5428	50	18.30
scaffold_537	36.9676	247	0.5263	100.0000	247	34	29	0.5403	38	16.06
scaffold_538	35.7154	246	0.4878	100.0000	246	33	28	0.4903	36	16.21
scaffold_539	106.6531	245	0.4735	100.0000	245	84	100	0.4900	106	36.35
scaffold_540	82.7910	244	0.4385	100.0000	244	67	76	0.4457	83	31.82
scaffold_541	39.0041	243	0.4156	100.0000	243	30	35	0.4312	41	17.09
scaffold_542	33.1934	243	0.3992	100.0000	243	26	29	0.4107	38	16.43
scaffold_543	40.3942	241	0.5394	100.0000	241	33	34	0.5351	46	18.41
scaffold_544	27.4647	241	0.5021	100.0000	241	26	19	0.5149	27	12.22
scaffold_545	15.7500	240	0.5333	100.0000	240	14	13	0.5359	16	5.89
scaffold_546	43.4417	240	0.5125	100.0000	240	39	33	0.5171	43	18.19
scaffold_547	35.3500	240	0.5583	100.0000	240	29	29	0.5678	35	16.44
scaffold_548	33.0297	236	0.5000	100.0000	236	26	27	0.5023	33	14.62
scaffold_549	46.0975	236	0.5127	100.0000	236	40	37	0.4951	48	19.88
scaffold_550	5.8093	236	0.1186	100.0000	236	5	5	0.1881	6	2.08
scaffold_551	44.7735	234	0.5342	100.0000	234	33	38	0.5123	47	19.99
scaffold_552	47.7735	234	0.5128	100.0000	234	44	36	0.5155	51	21.37
scaffold_553	34.0855	234	0.5385	100.0000	234	26	29	0.5524	38	16.02
scaffold_554	33.0769	234	0.5128	100.0000	234	32	20	0.5265	35	15.46
scaffold_555	139.4163	233	0.4163	100.0000	233	123	130	0.4243	144	38.11
scaffold_556	41.0944	233	0.5708	100.0000	233	33	34	0.5991	42	16.70
scaffold_557	29.9571	233	0.4850	100.0000	233	24	23	0.4982	31	14.96
scaffold_558	25.7253	233	0.4807	100.0000	233	14	27	0.4881	27	12.83
scaffold_559	106.8405	232	0.4353	100.0000	232	95	81	0.4464	105	36.57
scaffold_560	48.0517	232	0.5862	100.0000	232	41	35	0.5654	52	22.67
scaffold_561	49.1810	232	0.4267	100.0000	232	34	47	0.4323	47	17.04
scaffold_562	34.7576	231	0.5758	100.0000	231	25	29	0.5606	43	18.08
scaffold_563	22.0476	231	0.5541	100.0000	231	21	14	0.5393	23	10.02
scaffold_564	85.4061	229	0.5284	100.0000	229	80	60	0.5319	85	28.70
scaffold_565	39.6812	229	0.5852	100.0000	229	36	27	0.5613	39	16.40
scaffold_566	15.7205	229	0.5502	98.6900	226	14	11	0.5619	19	8.20
scaffold_567	31.9301	229	0.4498	100.0000	229	24	26	0.4607	34	14.01
scaffold_568	52.1223	229	0.5284	100.0000	229	48	37	0.5297	52	19.80
scaffold_569	29.2751	229	0.5546	100.0000	229	24	22	0.5502	31	12.81
scaffold_570	14.2707	229	0.4498	96.0699	220	10	12	0.4669	16	7.18
scaffold_571	2.3436	227	0.5330	100.0000	227	2	2	0.5232	3	1.15
scaffold_572	33.6123	227	0.5154	100.0000	227	23	30	0.5282	33	13.62
scaffold_573	33.2247	227	0.5507	100.0000	227	24	28	0.5478	37	14.48
scaffold_574	41.9159	226	0.5752	100.0000	226	35	31	0.5744	44	18.52
scaffold_575	44.2444	225	0.5111	100.0000	225	30	38	0.5181	44	18.59
scaffold_576	45.7911	225	0.5200	100.0000	225	32	41	0.5043	48	17.00
scaffold_577	52.8571	224	0.5268	100.0000	224	43	37	0.5267	61	24.67
scaffold_578	43.1116	224	0.4866	100.0000	224	40	27	0.4854	45	17.50
scaffold_579	34.4843	223	0.4619	100.0000	223	28	25	0.4631	36	14.11
scaffold_580	12.6396	222	0.5000	100.0000	222	10	10	0.4960	12	5.23
scaffold_581	21.0721	222	0.4775	100.0000	222	16	16	0.5062	22	7.89
scaffold_582	78.7195	221	0.5701	100.0000	221	66	56	0.5709	83	32.15
scaffold_583	21.9140	221	0.4344	100.0000	221	18	10	0.4412	28	7.29
scaffold_584	39.5656	221	0.5294	100.0000	221	31	29	0.5274	45	17.37
scaffold_585	30.6516	221	0.4570	100.0000	221	24	22	0.4348	34	13.54
scaffold_586	22.5113	221	0.5158	100.0000	221	18	16	0.5121	23	9.19
scaffold_587	32.8037	219	0.4932	100.0000	219	20	30	0.4914	33	12.50
scaffold_588	40.0137	219	0.4658	100.0000	219	32	29	0.4597	44	17.15
scaffold_589	21.2146	219	0.5068	100.0000	219	15	16	0.4990	24	9.54
scaffold_590	10.8950	219	0.4749	99.0868	217	7	9	0.4797	12	4.93
scaffold_591	28.3119	218	0.4771	100.0000	218	26	16	0.4883	32	12.44
scaffold_592	43.1009	218	0.4128	100.0000	218	35	32	0.4230	45	16.31
scaffold_593	41.5000	218	0.4541	100.0000	218	34	29	0.4650	44	16.48
scaffold_594	39.2202	218	0.5138	100.0000	218	26	32	0.4799	39	16.87
scaffold_595	27.6789	218	0.4771	100.0000	218	20	21	0.4751	30	11.30
scaffold_596	55.8940	217	0.5438	100.0000	217	46	40	0.5253	59	20.09
scaffold_597	2.1898	216	0.5648	100.0000	216	1	2	0.5430	2	0.61
scaffold_598	24.4444	216	0.5093	98.6111	213	24	13	0.5277	27	10.90
scaffold_599	43.2047	215	0.5488	100.0000	215	29	34	0.5622	50	17.64
scaffold_600	7.5070	215	0.5256	100.0000	215	8	3	0.5069	9	3.38
scaffold_601	31.9488	215	0.5070	100.0000	215	28	19	0.5077	34	12.98
scaffold_602	19.8233	215	0.4419	100.0000	215	14	15	0.4423	22	8.25
scaffold_603	30.7009	214	0.5748	100.0000	214	21	26	0.5670	33	12.09
scaffold_604	45.9860	214	0.5421	100.0000	214	39	31	0.5216	47	16.73
scaffold_605	33.4366	213	0.5164	100.0000	213	29	20	0.5126	40	15.20
scaffold_606	24.8638	213	0.5352	100.0000	213	17	19	0.5245	29	11.43
scaffold_607	34.1174	213	0.4319	100.0000	213	24	27	0.4631	36	13.25
scaffold_608	20.1690	213	0.5446	100.0000	213	18	11	0.5551	23	8.69
scaffold_609	35.2028	212	0.5000	100.0000	212	28	22	0.5015	40	14.56
scaffold_610	42.7123	212	0.4906	100.0000	212	38	23	0.4963	50	18.95
scaffold_611	39.6256	211	0.5213	100.0000	211	31	29	0.5058	41	16.81
scaffold_612	24.8578	211	0.5308	100.0000	211	20	16	0.5368	28	10.13
scaffold_613	24.1185	211	0.5213	100.0000	211	17	19	0.5254	25	8.91
scaffold_614	83.4190	210	0.5000	100.0000	210	57	65	0.4969	82	31.49
scaffold_615	94.1190	210	0.5476	100.0000	210	61	78	0.5438	102	35.00
scaffold_616	158.5905	210	0.5381	100.0000	210	119	111	0.5370	170	62.43
scaffold_617	52.4238	210	0.5476	100.0000	210	38	40	0.5416	58	18.83
scaffold_618	24.6905	210	0.5476	100.0000	210	15	21	0.5409	24	9.72
scaffold_619	23.4333	210	0.4714	100.0000	210	12	22	0.4850	26	9.60
scaffold_620	26.0048	210	0.5095	100.0000	210	18	19	0.4910	31	11.61
scaffold_621	29.4190	210	0.5095	100.0000	210	18	26	0.5316	29	12.03
scaffold_622	22.8660	209	0.5407	100.0000	209	14	18	0.5454	26	9.41
scaffold_623	30.6923	208	0.4375	100.0000	208	33	12	0.4802	35	13.39
scaffold_624	13.4952	208	0.4663	100.0000	208	10	9	0.4705	16	6.03
scaffold_625	47.8454	207	0.4783	100.0000	207	46	24	0.4956	51	19.52
scaffold_626	26.5266	207	0.4734	100.0000	207	24	14	0.4857	29	9.32
scaffold_627	30.0193	207	0.4396	100.0000	207	32	14	0.4731	36	14.90
scaffold_628	16.8010	206	0.4320	100.0000	206	12	12	0.4376	18	6.50
scaffold_629	18.9660	206	0.4029	100.0000	206	13	14	0.4047	21	7.52
scaffold_630	84.2927	205	0.5122	100.0000	205	58	61	0.5114	91	31.96
scaffold_631	45.2488	205	0.5415	100.0000	205	38	36	0.5322	48	16.03
scaffold_632	23.9707	205	0.5317	100.0000	205	20	15	0.5510	29	10.56
scaffold_633	58.6618	204	0.4902	100.0000	204	35	50	0.4782	62	19.78
scaffold_634	38.3431	204	0.5098	100.0000	204	23	31	0.5056	42	15.45
scaffold_635	21.0985	203	0.6453	100.0000	203	15	14	0.6476	26	9.01
scaffold_636	45.1084	203	0.5369	100.0000	203	30	38	0.5302	49	18.35
scaffold_637	23.5743	202	0.4752	100.0000	202	17	16	0.4728	29	8.62
scaffold_638	17.9406	202	0.4158	100.0000	202	12	13	0.4342	20	6.59
scaffold_639	46.6567	201	0.4876	100.0000	201	26	39	0.4793	56	18.34
scaffold_640	21.4726	201	0.4726	100.0000	201	20	9	0.4522	27	8.87
scaffold_641	17.5550	200	0.5200	100.0000	200	10	15	0.5510	21	6.67
scaffold_642	7.7350	200	0.5400	100.0000	200	8	3	0.5479	9	3.17
scaffold_643	2.7600	200	0.4700	96.5000	193	1	3	0.4487	3	1.14
scaffold_644	24.4850	200	0.5050	100.0000	200	16	17	0.5174	31	9.52
scaffold_645	28.9400	200	0.4450	100.0000	200	18	24	0.4415	30	10.94
scaffold_646	24.2700	200	0.4250	100.0000	200	17	19	0.4468	28	10.03
